creative_id,campaign,headline,cta,format,channel,audience,impressions,clicks,ctr,conversions,cpa,conv_rate,tested_date,winner
GF-2025-Q4-001,Savings Push,"Your savings just got a raise. 4.25% APY.",Get Started,Static,Meta,Millennials,245000,6125,2.50%,184,26.63,3.00%,2025-10-15,TRUE
GF-2025-Q4-002,Savings Push,"Big banks pay 0.01%. We pay 4.25%.",Compare Now,Static,Meta,Millennials,245000,5145,2.10%,129,38.02,2.51%,2025-10-15,FALSE
GF-2025-Q4-003,Savings Push,"Make your money work. Not the other way around.",Open Account,Static,Meta,Millennials,245000,4655,1.90%,102,48.04,2.19%,2025-10-15,FALSE
GF-2025-Q4-004,Tax Refund Q1,""Put your refund somewhere it'll grow."",Start Saving,Video,Meta,Gen Z,380000,11400,3.00%,228,33.77,2.00%,2026-01-20,TRUE
GF-2025-Q4-005,Tax Refund Q1,"Your tax refund deserves better than 0.01%.",See APY,Video,Meta,Gen Z,380000,8740,2.30%,157,48.66,1.80%,2026-01-20,FALSE
GF-2025-Q4-006,Trust Campaign,"FDIC insured. No surprises. Real support.",Learn More,Static,Google Display,Career Changers,520000,2600,0.50%,78,66.67,3.00%,2025-11-10,TRUE
GF-2025-Q4-007,Trust Campaign,"Banking that won't ghost you when you need help.",Get Support,Static,Google Display,Career Changers,520000,2080,0.40%,42,123.81,2.02%,2025-11-10,FALSE
GF-2025-Q4-008,No Fees,"$0 monthly fees. $0 minimum balance. $0 BS.",Sign Up Free,Static,Meta,Gen Z,310000,9920,3.20%,248,25.00,2.50%,2025-09-22,TRUE
GF-2025-Q4-009,No Fees,"Free banking. Actually free.",Open Account,Static,Meta,Gen Z,310000,7130,2.30%,164,37.80,2.30%,2025-09-22,FALSE
GF-2025-Q4-010,APY Comparison,"Savings account earning 0.01%? That's not saving.",Switch Now,Video,YouTube,Millennials,180000,2340,1.30%,47,76.60,2.01%,2025-12-05,TRUE
GF-2025-Q4-011,APY Comparison,"Stop losing money by saving it.",Calculate Earnings,Video,YouTube,Millennials,180000,1620,0.90%,24,150.00,1.48%,2025-12-05,FALSE
GF-2025-Q4-012,New Year,"New year, new rate. 4.25% APY on savings.",Start Fresh,Static,Meta,All,420000,10080,2.40%,302,27.81,3.00%,2026-01-02,TRUE
GF-2025-Q4-013,Retargeting,"Still thinking about it? Your money is waiting.",Complete Signup,Static,Meta,Retarget,95000,4275,4.50%,214,8.88,5.00%,2026-02-01,TRUE
GF-2025-Q4-014,Retargeting,"Don't let 4.25% pass you by.",Finish Setup,Static,Meta,Retarget,95000,3325,3.50%,133,14.29,4.00%,2026-02-01,FALSE
GF-2025-Q4-015,Life Moments,"Moving? New job? New budget? Let's go.",Get Started,Video,TikTok,Gen Z,890000,13350,1.50%,89,100.56,0.67%,2026-02-15,FALSE
GF-2025-Q4-016,Life Moments,"Big changes deserve a bank that keeps up.",Open Account,Video,TikTok,Gen Z,890000,16020,1.80%,112,80.00,0.70%,2026-02-15,TRUE
