channel,campaign,spend,impressions,clicks,ctr,cpc,conversions,cpa,conv_rate,roas
Paid Search,Brand - Exact,4100.00,51000,4590,9.00%,0.89,298,13.76,6.49%,4.75
Paid Search,Brand - BMM,3200.00,82000,3690,4.50%,0.87,195,16.41,5.28%,3.98
Paid Search,Non-Brand - Savings,7200.00,108000,4860,4.50%,1.48,194,37.11,3.99%,2.21
Paid Search,Non-Brand - Checking,6000.00,95000,4275,4.50%,1.40,171,35.09,4.00%,2.34
Paid Search,Non-Brand - Competitor,4500.00,52000,2080,4.00%,2.16,73,61.64,3.51%,1.33
Paid Social,Meta - Prospecting,11800.00,850000,21250,2.50%,0.56,425,27.76,2.00%,2.96
Paid Social,Meta - Retargeting,4000.00,148000,6660,4.50%,0.60,266,15.04,3.99%,5.46
Paid Social,Meta - Lookalikes,8200.00,548000,13700,2.50%,0.60,329,24.92,2.40%,3.29
Paid Social,TikTok - Awareness,5000.00,1120000,16800,1.50%,0.30,100,50.00,0.60%,1.64
Paid Social,TikTok - Conversions,3500.00,280000,8400,3.00%,0.42,123,28.46,1.46%,2.88
Display,Programmatic - Prospecting,6200.00,2480000,7440,0.30%,0.83,74,83.78,0.99%,0.98
Display,Programmatic - Retargeting,3400.00,510000,4590,0.90%,0.74,138,24.64,3.01%,3.33
Display,YouTube Pre-Roll,4500.00,300000,3000,1.00%,1.50,60,75.00,2.00%,1.09
Video,Connected TV,7500.00,1000000,N/A,N/A,N/A,75,100.00,N/A,0.82
Video,OLV - Premium,5200.00,693000,6930,1.00%,0.75,104,50.00,1.50%,1.64
